基因	基因ID	阳性数
SCN3A	6328	2
SCN8A	6334	2
SCN9A	6335	2
SON	6651	2
SOX10	6663	2
SRD5A2	6716	2
SRY	6736	2
TNFAIP3	7128	2
TNNI3	7137	2
TRIO	7204	2
TULP1	7287	2
USH2A	7399	2
WHSC1	7468	2
NSD2	7468	2
DYSF	8291	2
COLQ	8292	2
PPM1D	8493	2
PRKRA	8575	2
SYNGAP1	8831	2
HERC2	8924	2
SEMA5A	9037	2
PREPL	9581	2
ARHGEF10	9639	2
KIF14	9928	2
BCAP31	10134	2
TSHZ1	10194	2
ZMPSTE24	10269	2
STAG1	10274	2
SLC34A2	10568	2
TBR1	10716	2
IL1RAPL1	11141	2
PDCD10	11235	2
CNKSR2	22866	2
WDFY3	23001	2
SETD1B	23067	2
ANKLE2	23141	2
MAPK8IP3	23162	2
NUP188	23511	2
NNT	23530	2
FTSJ1	24140	2
SIN3A	25942	2
SETBP1	26040	2
TPK1	27010	2
FOXP1	27086	2
DUOX2	50506	2
MSTO1	55154	2
SMPD4	55627	2
CHD7	55636	2
HDAC8	55869	2
RPGRIP1	57096	2
THOC2	57187	2
KIDINS220	57498	2
KCNT1	57582	2
MCCC2	64087	2
NSD1	64324	2
INF2	64423	2
C5orf42	65250	2
FA2H	79152	2
TBL1XR1	79718	2
PANK2	80025	2
CCM2	83605	2
MAGT1	84061	2
SERAC1	84947	2
OTOA	146183	2
DSG4	147409	2
SIK1	150094	2
ARID2	196528	2
HEPACAM	220296	2
MFSD8	256471	2
NALCN	259232	2
CHAMP1	283489	2
ABCA4	24	1
ABL1	25	1
ACP5	54	1
ACTB	60	1
ADSL	158	1
AGL	178	1
AGT	183	1
ABCD1	215	1
ALDH3A2	224	1
ALDOB	229	1
APP	351	1
ARSB	411	1
ARSE	415	1
ASAH1	427	1
ASL	435	1
ASS1	445	1
ATP1A2	477	1
ATP1A3	478	1
ATP2B3	492	1
ATR	545	1
BBS4	585	1
BCHE	590	1
BCKDHB	594	1
BGN	633	1
FOXL2	668	1
BRCA1	672	1
SERPING1	710	1
C4A	720	1
C11orf9	745	1
CACNA1E	777	1
CACNB4	785	1
CAD	790	1
CAMK2B	816	1
CAMK2G	818	1
CARS	833	1
CASP10	843	1
CASR	846	1
CBL	867	1
CD3E	916	1
CD40LG	959	1
LRBA	987	1
CES1	1066	1
CHKB	1120	1
CHRNE	1145	1
CLCN2	1181	1
CLIC2	1193	1
COL2A1	1280	1
COL6A2	1292	1
COL6A3	1293	1
COL7A1	1294	1
COL11A2	1302	1
COX10	1352	1
COX15	1355	1
CPS1	1373	1
CR1	1378	1
CRKL	1399	1
CRX	1406	1
CSNK2B	1460	1
CTBP1	1487	1
CTNNA1	1495	1
CTNS	1497	1
CYP11B2	1585	1
DCX	1641	1
DLG3	1741	1
DNA2	1763	1
DRD4	1815	1
DSP	1832	1
DVL3	1857	1
EDN3	1908	1
EDNRB	1910	1
EEF1B2	1933	1
EFNB1	1947	1
EPB41	2035	1
EPB41L1	2036	1
EPRS	2058	1
ETFDH	2110	1
EXT1	2131	1
EZH2	2146	1
F5	2153	1
F9	2158	1
FCGR2A	2212	1
FCGR3A	2214	1
FCGR3B	2215	1
FGF12	2257	1
FGFR1	2260	1
FH	2271	1
FHL1	2273	1
FOXG1	2290	1
FLII	2314	1
FLNC	2318	1
FLT4	2324	1
FUCA1	2517	1
FUS	2521	1
GAA	2548	1
GABRA1	2554	1
GABRA5	2558	1
GABRD	2563	1
GALC	2581	1
GATA3	2625	1
GBE1	2632	1
GCK	2645	1
GFPT1	2673	1
GJA1	2697	1
GJA8	2703	1
GK	2710	1
GLRA1	2741	1
GNA11	2767	1
GNAL	2774	1
GNRHR	2798	1
GPC1	2817	1
GRIA3	2892	1
GRID2	2895	1
GRIN1	2902	1
GSTM1	2944	1
GYS1	2997	1
HCCS	3052	1
HCFC1	3054	1
HTT	3064	1
HK1	3098	1
HLCS	3141	1
HNRNPA2B1	3181	1
HSPB1	3315	1
HSPG2	3339	1
IDUA	3425	1
IL10RA	3587	1
IRF5	3663	1
ITGA3	3675	1
ITGB3	3690	1
ITPR1	3708	1
JAK2	3717	1
JUP	3728	1
KCNA2	3737	1
KCNJ5	3762	1
KCNQ1	3784	1
KCNQ3	3786	1
KIT	3815	1
LIG4	3981	1
LMNB1	4001	1
LPA	4018	1
LRP5	4041	1
MEFV	4210	1
MEIS2	4212	1
MIPEP	4285	1
MLH1	4292	1
TRPM1	4308	1
MTR	4548	1
TRIM37	4591	1
MYH9	4627	1
MYO6	4646	1
NARS	4677	1
NEFL	4747	1
NEK1	4750	1
NHS	4810	1
NONO	4841	1
CNOT2	4848	1
CNOT3	4849	1
NOTCH1	4851	1
NR4A2	4929	1
GPR143	4935	1
PAK3	5063	1
PAX3	5077	1
PDE3A	5139	1
PDHA1	5160	1
ENPP1	5167	1
SERPINF1	5176	1
PGM1	5236	1
ABCB4	5244	1
PHKA1	5255	1
PHKA2	5256	1
PHKB	5257	1
PITX2	5308	1
PKD2	5311	1
PKLR	5313	1
PKP2	5318	1
PLD1	5337	1
PLIN1	5346	1
PLOD2	5352	1
PMS2	5395	1
POLR2A	5430	1
POU3F3	5455	1
PPP2CA	5515	1
PPP2R2B	5521	1
PRKACA	5566	1
PRKD1	5587	1
HTRA1	5654	1
PTHLH	5744	1
PTPN11	5781	1
PYGL	5836	1
RANBP2	5903	1
RASA2	5922	1
RIT1	6016	1
RORB	6096	1
RP2	6102	1
RPL5	6125	1
RYR1	6261	1
RYR2	6262	1
SBF1	6305	1
SCN1B	6324	1
SCN4A	6329	1
SCNN1A	6337	1
SDHA	6389	1
SDHC	6391	1
SET	6418	1
SRSF1	6426	1
SGCB	6443	1
SGCG	6445	1
STIL	6491	1
SKI	6497	1
SLC5A2	6524	1
SLC10A1	6554	1
SLC16A2	6567	1
SLC18A3	6572	1
SLC20A2	6575	1
SOX11	6664	1
SPG7	6687	1
SPTA1	6708	1
SPTBN1	6711	1
STK4	6789	1
VAMP7	6845	1
SYN1	6853	1
TAF4	6874	1
TAZ	6901	1
TBCD	6904	1
SERPINA7	6906	1
TBX2	6909	1
TBX5	6910	1
TECTA	7007	1
TFAP2A	7020	1
NR2F1	7025	1
NR2F2	7026	1
TGIF1	7050	1
TH	7054	1
TSHR	7253	1
SLC35A2	7355	1
VLDLR	7436	1
VRK1	7443	1
WRN	7486	1
XK	7504	1
XPA	7507	1
YWHAE	7531	1
ZIC1	7545	1
ZIC2	7546	1
ZMYM2	7750	1
USP7	7874	1
EPM2A	7957	1
KAT6A	7994	1
MLL2	8085	1
AAAS	8086	1
IFT88	8100	1
AP3B2	8120	1
GAN	8139	1
CLTCL1	8218	1
SMC1A	8243	1
LAGE3	8270	1
LTBP4	8425	1
CUL4B	8450	1
MMP23B	8510	1
CDK10	8558	1
SLC25A12	8604	1
CDK13	8621	1
TP63	8626	1
RNASET2	8635	1
DNAH11	8701	1
MBTPS1	8720	1
CCNK	8812	1
HESX1	8820	1
WISP3	8838	1
PROM1	8842	1
MCM3AP	8888	1
SGCE	8910	1
CACNA1H	8912	1
BRSK2	9024	1
SLC7A7	9056	1
SLC33A1	9197	1
LARGE	9215	1
EFTUD2	9343	1
OTOF	9381	1
TJP2	9414	1
GTF2IRD1	9569	1
ISG15	9636	1
IQCB1	9657	1
PUM1	9698	1
SEMA3E	9723	1
HDAC4	9759	1
PTDSS1	9791	1
TELO2	9894	1
GNE	10020	1
OPTN	10133	1
AKAP9	10142	1
ATP6AP2	10159	1
SLC25A13	10165	1
GPHN	10243	1
CCNO	10309	1
TUBB4A	10382	1
YAP1	10413	1
COG5	10466	1
ZNF238	10472	1
SEMA6B	10501	1
DEAF1	10522	1
ARFGEF1	10565	1
NPRL2	10641	1
CLDN16	10686	1
AP4B1	10717	1
SEPT9	10801	1
FTCD	10841	1
TUBGCP2	10844	1
CLPX	10845	1
SRCAP	10847	1
PPP1R13L	10848	1
AFG3L2	10939	1
MSL3	10943	1
ASCC3	10973	1
SPINK5	11005	1
TRIOBP	11078	1
ICK	22858	1
FAN1	22909	1
SHANK2	22941	1
TRIM32	22954	1
MAST1	22983	1
MYT1L	23040	1
MYCBP2	23077	1
IQSEC2	23096	1
TBC1D2B	23102	1
PHF8	23133	1
KANK1	23189	1
PMPCA	23203	1
MLC1	23209	1
VPS13A	23230	1
CAMTA1	23261	1
CUX2	23316	1
DNAJC13	23317	1
SYNE1	23345	1
SPECC1L	23384	1
ADNP	23394	1
MLYCD	23417	1
CRB1	23418	1
TNFRSF13B	23495	1
MACF1	23499	1
TSPAN12	23554	1
LRRC6	23639	1
NIPBL	25836	1
PARS2	25973	1
MMACHC	25974	1
TANC2	26115	1
INTS1	26173	1
MLH3	27030	1
AFF4	27125	1
AHDC1	27245	1
NFU1	27247	1
RRP7A	27341	1
DLL1	28514	1
NDUFAF4	29078	1
POMT2	29954	1
BAZ2B	29994	1
GLTSCR1	29998	1
ATP6V0A4	50617	1
GMNN	51053	1
GLRX5	51218	1
PHF21A	51317	1
NBAS	51594	1
KLF13	51621	1
SUFU	51684	1
ATP8A2	51761	1
ADA2	51816	1
BCL11A	53335	1
GDAP1	54332	1
PRMT7	54496	1
USP53	54532	1
NDUFB11	54539	1
DLL4	54567	1
UGT1A1	54658	1
CNNM2	54805	1
NDE1	54820	1
VPS13C	54832	1
APTX	54840	1
BCOR	54880	1
TBC1D8B	54885	1
CLN6	54982	1
ANO10	55129	1
DARS2	55157	1
ASXL2	55252	1
CWF19L1	55280	1
UFSP2	55325	1
DHTKD1	55526	1
TRMT1	55621	1
ZNF407	55628	1
ASH1L	55870	1
MLL5	55904	1
ANKH	56172	1
KCNQ5	56479	1
COQ8A	56997	1
RARS2	57038	1
DAZ2	57055	1
TBX20	57057	1
SALL4	57167	1
ZMIZ1	57178	1
SEPN1	57190	1
AICDA	57379	1
SCAF4	57466	1
SHROOM4	57477	1
NLGN4X	57502	1
HECW2	57520	1
MLL3	58508	1
PIEZO2	63895	1
CDH23	64072	1
CARD9	64170	1
NMNAT1	64802	1
REEP1	65055	1
UPF3B	65109	1
ALG8	79053	1
GNPTAB	79158	1
BRCC3	79184	1
CDC73	79577	1
NARS2	79731	1
NUP85	79902	1
L2HGDH	79944	1
DHDDS	79947	1
GREB1L	80000	1
CEP290	80184	1
SPG11	80208	1
ARMC9	80210	1
DNAJC5	80331	1
COL18A1	80781	1
ASXL3	80816	1
SBF2	81846	1
SPRY4	81848	1
GPR98	84059	1
GTF2IRD2	84163	1
FAM126A	84668	1
LMNB2	84823	1
WDR73	84942	1
ESAM	90952	1
SLC25A46	91137	1
NEXN	91624	1
CHRDL1	91851	1
CCDC164	92749	1
TBCK	93627	1
FOXP2	93986	1
STX1B	112755	1
NLRP3	114548	1
NUS1	116150	1
RAB39B	116442	1
ANTXR2	118429	1
WDR81	124997	1
APOA1BP	128240	1
C22orf25	128989	1
TAF8	129685	1
EVC2	132884	1
MPLKIP	136647	1
TRPM6	140803	1
B3GLCT	145173	1
MESP2	145873	1
MARVELD2	153562	1
TMPRSS6	164656	1
ASXL1	171023	1
SEMA3D	223117	1
NPHP4	261734	1
KANSL1	284058	1
UNC80	285175	1
GPIHBP1	338328	1
KIAA2022	340533	1
TUBB2B	347733	1
HCN1	348980	1
SAMD12	401474	1
NCF1	653361	1
MUC5B	727897	1
ARVCF	421	0
ATP6V1A	523	0
CHM	1121	0
CHRNA4	1137	0
NKX2-5	1482	0
EDN1	1906	0
EEF1A2	1917	0
GABRB2	2561	0
HBG1	3047	0
HBG2	3048	0
MNX1	3110	0
HNRNPH1	3187	0
LETM1	3954	0
NDN	4692	0
NDP	4693	0
NFKB2	4791	0
PLN	5350	0
POU3F4	5456	0
PPP2R1A	5518	0
SHH	6469	0
HIRA	7290	0
YY1	7528	0
ZNF711	7552	0
DGCR14	8220	0
BMP15	9210	0
CD96	10225	0
CPLX1	10815	0
CFHR4	10877	0
FBXW11	23291	0
SUZ12	23512	0
ZBTB20	26137	0
FGFRL1	53834	0
NLGN3	54413	0
DGCR8	54487	0
BCL11B	64919	0
TRIM8	81603	0
ATAD3B	83858	0
RNF135	84282	0
NACC1	112939	0
TMC1	117531	0
ATAD3C	219293	0
PHACTR1	221692	0
CEP85L	387119	0
PNPLA4	8228	0
SYT15	83849	0
JAM2	58494	0
EIF3C	8663	0
HIP1	3092	0
FAAH2	158584	0
CCT4	10575	0
